probability_nonAMP	probability_AMP	predicted	seq_id
0.9847	0.0153	nonAMP	sp|Q9Z806|RL21_CHLPN
0.8869	0.1131	nonAMP	sp|Q1RPS9|VKTH5_BUNMU
0.3310	0.6690	AMP	sp|P83348|TRYP_APIMS
1.0000	0.0000	nonAMP	sp|Q6D6F7|FLIT_PECAS
1.0000	0.0000	nonAMP	sp|Q7NQG9|RS5_CHRVO
0.9921	0.0079	nonAMP	sp|Q04811|YMXH_BACSU
0.9653	0.0347	nonAMP	sp|Q8DSR1|YIDD_STRMU
0.9941	0.0059	nonAMP	sp|A6TDW3|Y3323_KLEP7
0.8071	0.1929	nonAMP	sp|A0A023IWM4|MSD1_AMAFU
0.9782	0.0218	nonAMP	sp|B9TQX1|UCMA_ACINA
0.9463	0.0537	nonAMP	sp|A4FYI7|RL24E_METM5
