feature	importance
hydrophobicity_ARGP820101.2.residue0	0.0745
normwaalsvolume.3.residue0	0.0714
secondarystruct.1.residue0	0.0708
hydrophobicity_CASG920101.2.residue0	0.065
polarizability.3.residue0	0.0634
polarity.1.residue0	0.0565
hydrophobicity_PONP930101.3.residue0	0.0542
hydrophobicity_ENGD860101.3.residue0	0.0513
hydrophobicity_FASG890101.3.residue0	0.0491
charge.2.residue0	0.0448
solventaccess.3.residue0	0.0363
hydrophobicity_ZIMJ680101.2.residue0	0.0338
hydrophobicity_PRAM900101.3.residue0	0.0322
charge.3.residue75	0.0233
charge.3.residue100	0.0216
solventaccess.2.residue0	0.0186
normwaalsvolume.2.residue0	0.0152
polarizability.2.residue0	0.014
hydrophobicity_FASG890101.1.residue0	0.0097
hydrophobicity_PONP930101.1.residue0	0.0096
hydrophobicity_ZIMJ680101.1.residue0	0.0085
hydrophobicity_CASG920101.1.residue0	0.007
polarizability.1.residue100	0.0069
secondarystruct.2.residue0	0.0068
hydrophobicity_ARGP820101.1.residue100	0.0066
hydrophobicity_ENGD860101.1.residue0	0.0053
hydrophobicity_PRAM900101.1.residue0	0.0051
hydrophobicity_ENGD860101.2.residue100	0.005
polarity.3.residue0	0.0048
solventaccess.1.residue0	0.0038
hydrophobicity_ARGP820101.1.residue25	0.0032
hydrophobicity_ARGP820101.3.residue25	0.003
polarity.2.residue100	0.0029
hydrophobicity_PRAM900101.1.residue100	0.0027
hydrophobicity_ARGP820101.1.residue75	0.0027
charge.3.residue50	0.0027
charge.3.residue25	0.0024
normwaalsvolume.2.residue50	0.0022
hydrophobicity_ENGD860101.2.residue0	0.0019
normwaalsvolume.2.residue25	0.0018
normwaalsvolume.1.residue0	0.0016
charge.1.residue25	0.0014
hydrophobicity_ZIMJ680101.2.residue25	0.0014
normwaalsvolume.2.residue100	0.0013
normwaalsvolume.2.residue75	0.0013
secondarystruct.3.residue0	0.0013
polarizability.1.residue0	0.0013
hydrophobicity_ARGP820101.3.residue0	0.0013
hydrophobicity_PONP930101.2.residue0	0.0013
hydrophobicity_PRAM900101.2.residue0	0.0013
hydrophobicity_ARGP820101.1.residue0	0.0013
hydrophobicity_ZIMJ680101.3.residue0	0.0012
hydrophobicity_CASG920101.1.residue75	0.0012
hydrophobicity_CASG920101.2.residue50	0.0012
hydrophobicity_ZIMJ680101.2.residue75	0.0011
charge.1.residue0	0.0011
secondarystruct.1.residue50	0.0011
normwaalsvolume.3.residue25	0.001
hydrophobicity_ENGD860101.3.residue50	0.001
hydrophobicity_CASG920101.3.residue0	0.001
hydrophobicity_CASG920101.3.residue25	0.0009
hydrophobicity_ENGD860101.3.residue25	0.0009
hydrophobicity_PRAM900101.3.residue25	0.0009
hydrophobicity_PONP930101.1.residue100	0.0009
hydrophobicity_PONP930101.2.residue75	0.0009
hydrophobicity_CASG920101.1.residue25	0.0009
hydrophobicity_ZIMJ680101.3.residue25	0.0009
hydrophobicity_FASG890101.3.residue50	0.0009
polarity.3.residue50	0.0009
polarizability.3.residue50	0.0008
polarizability.3.residue25	0.0008
polarizability.3.residue75	0.0008
hydrophobicity_ARGP820101.2.residue25	0.0008
hydrophobicity_CASG920101.2.residue25	0.0008
hydrophobicity_ZIMJ680101.1.residue75	0.0008
hydrophobicity_CASG920101.3.residue100	0.0008
hydrophobicity_CASG920101.2.residue75	0.0008
polarizability.2.residue75	0.0008
normwaalsvolume.3.residue50	0.0008
solventaccess.2.residue50	0.0008
hydrophobicity_ZIMJ680101.2.residue50	0.0007
hydrophobicity_PONP930101.1.residue50	0.0007
hydrophobicity_PONP930101.3.residue50	0.0007
hydrophobicity_ZIMJ680101.3.residue75	0.0007
hydrophobicity_ARGP820101.2.residue75	0.0007
solventaccess.3.residue25	0.0007
solventaccess.1.residue50	0.0007
secondarystruct.3.residue25	0.0007
solventaccess.1.residue25	0.0007
secondarystruct.1.residue25	0.0007
charge.3.residue0	0.0007
polarity.3.residue25	0.0007
polarizability.2.residue50	0.0007
normwaalsvolume.3.residue75	0.0007
normwaalsvolume.1.residue25	0.0007
hydrophobicity_ENGD860101.3.residue75	0.0007
hydrophobicity_FASG890101.2.residue0	0.0007
